,precision,recall,f1-score,support,accuracy,file,kind
N3,0.9052631578947369,0.6907630522088354,0.7835990888382689,249.0,0.8870392390011891,2LS05_nuit_1.edf,algo
REM,0.5709090909090909,0.6596638655462185,0.6120857699805068,238.0,0.7633769322235434,2LS05_nuit_1.edf,algo
Wake,0.0962962962962963,0.18571428571428572,0.1268292682926829,70.0,0.7871581450653984,2LS05_nuit_1.edf,algo
accuracy,0.5957193816884662,0.5957193816884662,0.5957193816884662,0.5957193816884662,,2LS05_nuit_1.edf,algo
macro avg,0.448107154398176,0.4228646043302316,0.42847943360942625,841.0,,2LS05_nuit_1.edf,algo
weighted avg,0.6560595934457216,0.5957193816884662,0.6184761847965368,841.0,,2LS05_nuit_1.edf,algo
N1,0.13043478260869565,0.1,0.11320754716981132,30.0,0.9539666993143977,2SJ03_nuit_1.edf,noxturnal
N2,0.5597014925373134,0.8982035928143712,0.689655172413793,334.0,0.7355533790401567,2SJ03_nuit_1.edf,noxturnal
N3,0.9942196531791907,0.5308641975308642,0.6921529175050303,324.0,0.8501469147894222,2SJ03_nuit_1.edf,noxturnal
REM,0.9076305220883534,0.904,0.9058116232464929,250.0,0.9539666993143977,2SJ03_nuit_1.edf,noxturnal
Wake,0.7,0.3373493975903614,0.45528455284552843,83.0,0.9343780607247796,2SJ03_nuit_1.edf,noxturnal
accuracy,0.7140058765915769,0.7140058765915769,0.7140058765915769,0.7140058765915769,,2SJ03_nuit_1.edf,noxturnal
macro avg,0.6583972900827106,0.5540834375871194,0.5712223626361312,1021.0,,2SJ03_nuit_1.edf,noxturnal
weighted avg,0.7815750637981094,0.7140058765915769,0.7073850371897482,1021.0,,2SJ03_nuit_1.edf,noxturnal
N1,0.0,0.0,0.0,30.0,0.9696376101860921,2SJ03_nuit_1.edf,algo
N2,0.5987460815047022,0.5718562874251497,0.5849923430321593,334.0,0.7345739471106758,2SJ03_nuit_1.edf,algo
N3,1.0,0.29012345679012347,0.44976076555023925,324.0,0.7747306562193927,2SJ03_nuit_1.edf,algo
REM,0.8433734939759037,0.56,0.6730769230769231,250.0,0.8667972575905974,2SJ03_nuit_1.edf,algo
Wake,0.11337868480725624,0.6024096385542169,0.19083969465648856,83.0,0.584720861900098,2SJ03_nuit_1.edf,algo
accuracy,0.465230166503428,0.465230166503428,0.465230166503428,0.465230166503428,,2SJ03_nuit_1.edf,algo
macro avg,0.5110996520575725,0.404877876553898,0.379733945263162,1021.0,,2SJ03_nuit_1.edf,algo
weighted avg,0.728927517684181,0.465230166503428,0.514416117567814,1021.0,,2SJ03_nuit_1.edf,algo
