Start Time,End Time,Sleep
02:06:30.000,02:07:00.000,N3
02:07:00.000,02:07:30.000,N3
02:07:30.000,02:08:00.000,N3
02:08:00.000,02:08:30.000,N3
02:08:30.000,02:09:00.000,N3
02:09:00.000,02:09:30.000,N3
02:09:30.000,02:10:00.000,N3
02:10:00.000,02:10:30.000,N3
02:10:30.000,02:11:00.000,N3
02:11:00.000,02:11:30.000,N3
02:11:30.000,02:12:00.000,N3
02:12:00.000,02:12:30.000,N3
02:12:30.000,02:13:00.000,N3
02:13:00.000,02:13:30.000,N3
02:13:30.000,02:14:00.000,N3
02:14:00.000,02:14:30.000,N3
02:14:30.000,02:15:00.000,N3
02:15:00.000,02:15:30.000,N3
02:15:30.000,02:16:00.000,N3
02:16:00.000,02:16:30.000,N3
02:16:30.000,02:17:00.000,N3
02:17:00.000,02:17:30.000,N3
02:17:30.000,02:18:00.000,N3
02:18:00.000,02:18:30.000,N2
02:18:30.000,02:19:00.000,N2
02:19:00.000,02:19:30.000,N2
02:19:30.000,02:20:00.000,N2
02:20:00.000,02:20:30.000,N2
02:20:30.000,02:21:00.000,N2
02:21:00.000,02:21:30.000,N2
02:21:30.000,02:22:00.000,N2
02:22:00.000,02:22:30.000,N2
02:22:30.000,02:23:00.000,N2
02:23:00.000,02:23:30.000,N2
02:23:30.000,02:24:00.000,N2
02:24:00.000,02:24:30.000,N2
02:24:30.000,02:25:00.000,N1
02:25:00.000,02:25:30.000,N1
02:25:30.000,02:26:00.000,N2
02:26:00.000,02:26:30.000,N2
02:26:30.000,02:27:00.000,N2
02:27:00.000,02:27:30.000,N2
02:27:30.000,02:28:00.000,N2
02:28:00.000,02:28:30.000,N2
02:28:30.000,02:29:00.000,N2
02:29:00.000,02:29:30.000,N1
02:29:30.000,02:30:00.000,N1
02:30:00.000,02:30:30.000,N1
02:30:30.000,02:31:00.000,N2
02:31:00.000,02:31:30.000,N2
02:31:30.000,02:32:00.000,N2
02:32:00.000,02:32:30.000,N2
02:32:30.000,02:33:00.000,N2
02:33:00.000,02:33:30.000,N2
02:33:30.000,02:34:00.000,N2
02:34:00.000,02:34:30.000,N2
02:34:30.000,02:35:00.000,N2
02:35:00.000,02:35:30.000,N2
02:35:30.000,02:36:00.000,N3
02:36:00.000,02:36:30.000,N3
02:36:30.000,02:37:00.000,N3
02:37:00.000,02:37:30.000,N3
02:37:30.000,02:38:00.000,N3
02:38:00.000,02:38:30.000,N3
02:38:30.000,02:39:00.000,N3
02:39:00.000,02:39:30.000,N3
02:39:30.000,02:40:00.000,N3
