Start Time,End Time,Sleep
04:03:30.000,04:04:00.000,N2
04:04:00.000,04:04:30.000,N2
04:04:30.000,04:05:00.000,N2
04:05:00.000,04:05:30.000,N2
04:05:30.000,04:06:00.000,N2
04:06:00.000,04:06:30.000,N2
04:06:30.000,04:07:00.000,N2
04:07:00.000,04:07:30.000,N2
04:07:30.000,04:08:00.000,N2
04:08:00.000,04:08:30.000,Wake
04:08:30.000,04:09:00.000,Wake
04:09:00.000,04:09:30.000,Wake
04:09:30.000,04:10:00.000,Wake
04:10:00.000,04:10:30.000,Wake
04:10:30.000,04:11:00.000,Wake
04:11:00.000,04:11:30.000,Wake
04:11:30.000,04:12:00.000,Wake
04:12:00.000,04:12:30.000,Wake
04:12:30.000,04:13:00.000,Wake
04:13:00.000,04:13:30.000,N1
04:13:30.000,04:14:00.000,N2
04:14:00.000,04:14:30.000,N2
04:14:30.000,04:15:00.000,N2
04:15:00.000,04:15:30.000,REM
04:15:30.000,04:16:00.000,REM
04:16:00.000,04:16:30.000,REM
04:16:30.000,04:17:00.000,REM
04:17:00.000,04:17:30.000,Wake
04:17:30.000,04:18:00.000,REM
04:18:00.000,04:18:30.000,REM
04:18:30.000,04:19:00.000,REM
04:19:00.000,04:19:30.000,REM
04:19:30.000,04:20:00.000,REM
04:20:00.000,04:20:30.000,REM
04:20:30.000,04:21:00.000,REM
04:21:00.000,04:21:30.000,REM
04:21:30.000,04:22:00.000,REM
04:22:00.000,04:22:30.000,REM
04:22:30.000,04:23:00.000,Wake
04:23:00.000,04:23:30.000,Wake
04:23:30.000,04:24:00.000,Wake
04:24:00.000,04:24:30.000,Wake
04:24:30.000,04:25:00.000,Wake
04:25:00.000,04:25:30.000,Wake
04:25:30.000,04:26:00.000,REM
04:26:00.000,04:26:30.000,Wake
04:26:30.000,04:27:00.000,Wake
04:27:00.000,04:27:30.000,Wake
04:27:30.000,04:28:00.000,Wake
04:28:00.000,04:28:30.000,N1
04:28:30.000,04:29:00.000,N1
04:29:00.000,04:29:30.000,N1
04:29:30.000,04:30:00.000,N2
04:30:00.000,04:30:30.000,N2
04:30:30.000,04:31:00.000,N2
04:31:00.000,04:31:30.000,N2
04:31:30.000,04:32:00.000,N2
04:32:00.000,04:32:30.000,N2
04:32:30.000,04:33:00.000,N2
04:33:00.000,04:33:30.000,N2
04:33:30.000,04:34:00.000,N2
04:34:00.000,04:34:30.000,N2
04:34:30.000,04:35:00.000,N2
04:35:00.000,04:35:30.000,N2
04:35:30.000,04:36:00.000,N2
04:36:00.000,04:36:30.000,N2
04:36:30.000,04:37:00.000,N2
04:37:00.000,04:37:30.000,N2
04:37:30.000,04:38:00.000,N2
04:38:00.000,04:38:30.000,N2
04:38:30.000,04:39:00.000,N2
04:39:00.000,04:39:30.000,N2
04:39:30.000,04:40:00.000,N2
04:40:00.000,04:40:30.000,N2
04:40:30.000,04:41:00.000,N2
04:41:00.000,04:41:30.000,N2
04:41:30.000,04:42:00.000,N2
04:42:00.000,04:42:30.000,N2
04:42:30.000,04:43:00.000,N2
04:43:00.000,04:43:30.000,N2
04:43:30.000,04:44:00.000,N2
04:44:00.000,04:44:30.000,N2
04:44:30.000,04:45:00.000,N2
04:45:00.000,04:45:30.000,N2
04:45:30.000,04:46:00.000,N2
04:46:00.000,04:46:30.000,N2
04:46:30.000,04:47:00.000,N2
04:47:00.000,04:47:30.000,N2
04:47:30.000,04:48:00.000,N3
04:48:00.000,04:48:30.000,N3
04:48:30.000,04:49:00.000,N3
04:49:00.000,04:49:30.000,N3
04:49:30.000,04:50:00.000,N3
04:50:00.000,04:50:30.000,N3
04:50:30.000,04:51:00.000,N3
04:51:00.000,04:51:30.000,N3
04:51:30.000,04:52:00.000,N3
04:52:00.000,04:52:30.000,N3
04:52:30.000,04:53:00.000,N3
04:53:00.000,04:53:30.000,N3
04:53:30.000,04:54:00.000,N3
04:54:00.000,04:54:30.000,N3
04:54:30.000,04:55:00.000,N3
04:55:00.000,04:55:30.000,N3
04:55:30.000,04:56:00.000,N3
04:56:00.000,04:56:30.000,N3
04:56:30.000,04:57:00.000,N3
04:57:00.000,04:57:30.000,N3
04:57:30.000,04:58:00.000,N3
04:58:00.000,04:58:30.000,N3
04:58:30.000,04:59:00.000,N3
04:59:00.000,04:59:30.000,N3
04:59:30.000,05:00:00.000,N3
05:00:00.000,05:00:30.000,N3
05:00:30.000,05:01:00.000,N3
05:01:00.000,05:01:30.000,N3
05:01:30.000,05:02:00.000,N3
05:02:00.000,05:02:30.000,N3
05:02:30.000,05:03:00.000,N3
05:03:00.000,05:03:30.000,N3
05:03:30.000,05:04:00.000,N3
05:04:00.000,05:04:30.000,N3
05:04:30.000,05:05:00.000,N3
05:05:00.000,05:05:30.000,N3
05:05:30.000,05:06:00.000,N3
05:06:00.000,05:06:30.000,N3
05:06:30.000,05:07:00.000,N3
05:07:00.000,05:07:30.000,N3
05:07:30.000,05:08:00.000,N3
05:08:00.000,05:08:30.000,N3
05:08:30.000,05:09:00.000,N3
05:09:00.000,05:09:30.000,N3
05:09:30.000,05:10:00.000,N3
05:10:00.000,05:10:30.000,N3
05:10:30.000,05:11:00.000,N2
05:11:00.000,05:11:30.000,N2
05:11:30.000,05:12:00.000,N2
05:12:00.000,05:12:30.000,N2
05:12:30.000,05:13:00.000,N2
05:13:00.000,05:13:30.000,N2
05:13:30.000,05:14:00.000,N2
05:14:00.000,05:14:30.000,N2
05:14:30.000,05:15:00.000,N2
05:15:00.000,05:15:30.000,N2
05:15:30.000,05:16:00.000,N2
05:16:00.000,05:16:30.000,N2
05:16:30.000,05:17:00.000,N2
05:17:00.000,05:17:30.000,N2
05:17:30.000,05:18:00.000,N2
05:18:00.000,05:18:30.000,Wake
05:18:30.000,05:19:00.000,Wake
05:19:00.000,05:19:30.000,Wake
05:19:30.000,05:20:00.000,Wake
05:20:00.000,05:20:30.000,Wake
05:20:30.000,05:21:00.000,Wake
05:21:00.000,05:21:30.000,N1
05:21:30.000,05:22:00.000,N2
05:22:00.000,05:22:30.000,N2
05:22:30.000,05:23:00.000,N2
05:23:00.000,05:23:30.000,Wake
05:23:30.000,05:24:00.000,Wake
05:24:00.000,05:24:30.000,Wake
05:24:30.000,05:25:00.000,Wake
05:25:00.000,05:25:30.000,Wake
05:25:30.000,05:26:00.000,Wake
05:26:00.000,05:26:30.000,Wake
05:26:30.000,05:27:00.000,Wake
05:27:00.000,05:27:30.000,Wake
05:27:30.000,05:28:00.000,Wake
05:28:00.000,05:28:30.000,REM
05:28:30.000,05:29:00.000,REM
05:29:00.000,05:29:30.000,REM
05:29:30.000,05:30:00.000,REM
05:30:00.000,05:30:30.000,REM
05:30:30.000,05:31:00.000,REM
05:31:00.000,05:31:30.000,Wake
05:31:30.000,05:32:00.000,REM
05:32:00.000,05:32:30.000,REM
05:32:30.000,05:33:00.000,REM
05:33:00.000,05:33:30.000,REM
05:33:30.000,05:34:00.000,REM
05:34:00.000,05:34:30.000,REM
05:34:30.000,05:35:00.000,REM
05:35:00.000,05:35:30.000,REM
05:35:30.000,05:36:00.000,REM
05:36:00.000,05:36:30.000,REM
05:36:30.000,05:37:00.000,REM
05:37:00.000,05:37:30.000,REM
05:37:30.000,05:38:00.000,REM
05:38:00.000,05:38:30.000,REM
05:38:30.000,05:39:00.000,REM
05:39:00.000,05:39:30.000,REM
05:39:30.000,05:40:00.000,REM
05:40:00.000,05:40:30.000,REM
05:40:30.000,05:41:00.000,REM
05:41:00.000,05:41:30.000,Wake
05:41:30.000,05:42:00.000,N1
05:42:00.000,05:42:30.000,N2
05:42:30.000,05:43:00.000,N2
